"['官渡', '新螺蛳湾']",俊发观云海云悠苑,160,12251,"['4室2厅2卫', '高楼层 (共30层)', '130.61㎡', '平层', '板楼', '南 北', '钢混结构', '其他', '三梯四户', '有']"
"['盘龙', '世博']",云锡花园三期,136.3,12505,"['3室2厅2卫', '低楼层 (共7层)', '109㎡', '暂无数据', '暂无数据', '南', '未知结构', '其他', '一梯两户']"
"['盘龙', '昆明湖公园']",昆明铣床厂,50,9677,"['2室2厅1卫', '高楼层 (共6层)', '51.67㎡', '暂无数据', '板楼', '南 北', '砖混结构', '简装', '一梯两户']"
"['西山', '书林']",高地村61号,90,14517,"['2室2厅1卫', '中楼层 (共6层)', '62㎡', '暂无数据', '板楼', '东 西', '混合结构', '简装', '一梯两户']"
"['五华', '北教场']",万彩城,67,16114,"['1室1厅1卫', '高楼层 (共33层)', '41.58㎡', '复式', '塔楼', '南', '钢混结构', '其他', '十梯三十户', '有', '商水', '商电']"
"['安宁', '太平新城']",昆明恒大金碧天下,88,6985,"['3室2厅2卫', '高楼层 (共33层)', '126㎡', '暂无数据', '板楼', '南 北', '钢混结构', '其他', '两梯四户', '有']"
"['西山', '南亚']",昆明恒大云报华府,13.5,6137,"['地下室 (共1层)', '22㎡', '南']"
"['官渡', '滇池半岛']",万科500里,360,25175,"['4室2厅2卫', '高楼层 (共27层)', '143㎡', '平层', '板楼', '南 北', '钢混结构', '其他', '两梯四户', '有']"
"['官渡', '世纪城']",海伦国际菲诺区,119,12143,"['2室2厅2卫', '低楼层 (共40层)', '98㎡', '暂无数据', '塔楼', '东南', '钢混结构', '毛坯', '三梯六户', '有']"
"['官渡', '滇池半岛']",万科翡翠滨江,28,7369,"['1室1厅1卫', '低楼层 (共18层)', '38㎡', '暂无数据', '暂无数据', '北', '未知结构', '其他', '一梯三十七户']"
"['安宁', '安宁老城']",金色理想,78,8679,"['3室1厅1卫', '低楼层 (共29层)', '89.88㎡', '平层', '塔楼', '东南 南', '钢混结构', '毛坯', '三梯五户', '有']"
"['西山', '西山万达']",佳馨园,150,12697,"['3室2厅2卫', '高楼层 (共7层)', '118.14㎡', '暂无数据', '板楼', '东南', '框架结构', '其他', '一梯两户']"
"['盘龙', '世博']",云南映象城市公园广场,162,13729,"['3室2厅2卫', '高楼层 (共30层)', '118㎡', '暂无数据', '板楼', '东南', '钢混结构', '精装', '两梯两户', '有']"
"['盘龙', '昆明湖公园']",融城昆明湖,105,11852,"['2室2厅1卫', '低楼层 (共32层)', '88.6㎡', '暂无数据', '暂无数据', '东南', '未知结构', '毛坯', '一梯三户']"
"['官渡', '世纪城']",海伦国际米兰区,133,13712,"['3室1厅1卫', '中楼层 (共40层)', '97㎡', '平层', '塔楼', '东南', '钢混结构', '精装', '三梯八户', '有']"
"['官渡', '金马']",金马悦城,91,11480,"['2室2厅1卫', '中楼层 (共45层)', '79.27㎡', '暂无数据', '塔楼', '东南 南', '钢混结构', '其他', '三梯十户', '有']"
"['西山', '书林']",安康苑小区,190,12171,"['4室2厅2卫', '中楼层 (共6层)', '156.12㎡', '平层', '板楼', '东 西', '钢混结构', '其他', '一梯两户']"
"['西山', '度假区']",滇池卫城锦尚,280,31461,"['5室2厅2卫', '低楼层 (共6层)', '89㎡', '暂无数据', '板楼', '东南', '钢混结构', '其他', '一梯两户']"
"['官渡', '吴井']",合金公寓,64,10697,"['2室1厅1卫', '高楼层 (共22层)', '59.83㎡', '平层', '塔楼', '南', '钢混结构', '其他', '三梯十六户', '有']"
"['五华', '虹山']",百年明日城市,141,14243,"['3室1厅1卫', '中楼层 (共6层)', '99㎡', '平层', '板楼', '南 北', '钢混结构', '其他', '一梯两户']"
